Channel,Volume
Last Update,1652016364
2300-2310,24041
2310-2320,25040
2320-2330,33915
2330-2340,44792
2340-2350,65822
2350-2360,63482
2360-2370,58427
2370-2380,101289
2380-2390,104459
2390-2400,88831
2400-2410,64023
2410-2420,30599
2420-2430,43523
2430-2440,63533
2440-2450,52746
2450-2460,75591
2460-2470,83765
2470-2480,53902
2480-2490,38343
2490-2500,55115
2500-2510,81839
2510-2520,207906
2520-2530,305047
2530-2540,382533
2540-2550,338886
2550-2560,352927
2560-2570,425586
2570-2580,551285
2580-2590,662208
2590-2600,771944
2600-2610,662511
2610-2620,685810
2620-2630,656488
2630-2640,584025
2640-2650,493430
2650-2660,382375
2660-2670,387246
2670-2680,419895
2680-2690,501240
2690-2700,471851
2700-2710,497679
2710-2720,545546
2720-2730,499788
2730-2740,472621
2740-2750,471722
2750-2760,380093
2760-2770,404745
2770-2780,430666
2780-2790,427843
2790-2800,516025
2800-2810,661404
2810-2820,652619
2820-2830,604266
2830-2840,568600
2840-2850,515639
2850-2860,468448
2860-2870,507980
2870-2880,460356
2880-2890,421419
2890-2900,507792
2900-2910,504189
2910-2920,597642
2920-2930,670048
2930-2940,696772
2940-2950,676052
2950-2960,669177
2960-2970,577447
2970-2980,432832
2980-2990,395944
2990-3000,534347
3000-3010,662901
3010-3020,705229
3020-3030,607762
3030-3040,514765
3040-3050,498319
3050-3060,404867
3060-3070,364817
3070-3080,347946
3080-3090,337221
3090-3100,395585
3100-3110,436193
3110-3120,439109
3120-3130,339309
3130-3140,265595
3140-3150,268712
3150-3160,201319
3160-3170,175504
3170-3180,214857
3180-3190,167106
3190-3200,145882
3200-3210,181349
3210-3220,210610
3220-3230,258330
3230-3240,223873
3240-3250,197727
3250-3260,218296
3260-3270,181115
3270-3280,186185
3280-3290,206972
3290-3300,212828
3300-3310,138435
3310-3320,116384
3320-3330,92041
3330-3340,96316
3340-3350,150214
3350-3360,145764
3360-3370,166775
3370-3380,158212
3380-3390,186649
3390-3400,226684
3400-3410,211020
3410-3420,156501
3420-3430,150595
3430-3440,176077
3440-3450,184335
3450-3460,233747
3460-3470,198306
3470-3480,244635
3480-3490,228692
3490-3500,192237
3500-3510,160738
3510-3520,136844
3520-3530,107466
3530-3540,38571
3540-3550,28168
3550-3560,13351
3560-3570,11486
3570-3580,11553
