Channel,Volume
Last Update,1652053146
33700-33750,163
33750-33800,400
33800-33850,1551
33850-33900,1008
33900-33950,970
33950-34000,1608
34000-34050,2242
34050-34100,2224
34100-34150,1144
34150-34200,1152
34200-34250,954
34250-34300,1631
34300-34350,2992
34350-34400,3925
34400-34450,6987
34450-34500,7151
34500-34550,6385
34550-34600,7695
34600-34650,7032
34650-34700,6686
34700-34750,4692
34750-34800,4596
34800-34850,3277
34850-34900,4240
34900-34950,4094
34950-35000,3942
35000-35050,4429
35050-35100,4814
35100-35150,3952
35150-35200,5287
35200-35250,5226
35250-35300,4507
35300-35350,6560
35350-35400,4454
35400-35450,5148
35450-35500,5140
35500-35550,5799
35550-35600,5139
35600-35650,5343
35650-35700,5587
35700-35750,3500
35750-35800,5562
35800-35850,10061
35850-35900,10350
35900-35950,13054
35950-36000,11333
36000-36050,10975
36050-36100,8319
36100-36150,7040
36150-36200,6427
36200-36250,6432
36250-36300,5202
36300-36350,5977
36350-36400,5405
36400-36450,5111
36450-36500,4593
36500-36550,4125
36550-36600,3992
36600-36650,2624
36650-36700,3366
36700-36750,3401
36750-36800,3234
36800-36850,4596
36850-36900,5574
36900-36950,7110
36950-37000,5689
37000-37050,6480
37050-37100,5660
37100-37150,7131
37150-37200,4776
37200-37250,4712
37250-37300,4320
37300-37350,3796
37350-37400,5003
37400-37450,4558
37450-37500,5473
37500-37550,8943
37550-37600,11375
37600-37650,13556
37650-37700,14255
37700-37750,14739
37750-37800,13880
37800-37850,13495
37850-37900,12455
37900-37950,14401
37950-38000,16362
38000-38050,20893
38050-38100,18418
38100-38150,19000
38150-38200,19410
38200-38250,25492
38250-38300,29558
38300-38350,33395
38350-38400,32540
38400-38450,33179
38450-38500,33311
38500-38550,34332
38550-38600,34679
38600-38650,35590
38650-38700,41381
38700-38750,41567
38750-38800,45616
38800-38850,47194
38850-38900,46719
38900-38950,55718
38950-39000,55089
39000-39050,50779
39050-39100,47643
39100-39150,44043
39150-39200,44563
39200-39250,35769
39250-39300,31279
39300-39350,29709
39350-39400,31337
39400-39450,29854
39450-39500,33090
39500-39550,32125
39550-39600,30791
39600-39650,28005
39650-39700,30416
39700-39750,30768
39750-39800,31740
39800-39850,24748
39850-39900,22294
39900-39950,23227
39950-40000,20819
40000-40050,17950
40050-40100,19599
40100-40150,23599
40150-40200,21902
40200-40250,18358
40250-40300,19457
40300-40350,19735
40350-40400,23985
40400-40450,27616
40450-40500,26102
40500-40550,24479
40550-40600,24492
40600-40650,22641
40650-40700,21623
40700-40750,21654
40750-40800,22652
40800-40850,23082
40850-40900,20702
40900-40950,19583
40950-41000,19618
41000-41050,17302
41050-41100,18611
41100-41150,19398
41150-41200,22752
41200-41250,19578
41250-41300,18553
41300-41350,21270
41350-41400,20928
41400-41450,19054
41450-41500,16905
41500-41550,16253
41550-41600,12508
41600-41650,13397
41650-41700,14441
41700-41750,15028
41750-41800,14852
41800-41850,15314
41850-41900,16621
41900-41950,15977
41950-42000,15966
42000-42050,15250
42050-42100,15890
42100-42150,15733
42150-42200,17380
42200-42250,17355
42250-42300,18095
42300-42350,14077
42350-42400,13571
42400-42450,15236
42450-42500,15336
42500-42550,13354
42550-42600,12178
42600-42650,10105
42650-42700,10321
42700-42750,8451
42750-42800,10323
42800-42850,10140
42850-42900,10742
42900-42950,11298
42950-43000,11360
43000-43050,10605
43050-43100,11069
43100-43150,10669
43150-43200,9946
43200-43250,8874
43250-43300,10276
43300-43350,11424
43350-43400,13504
43400-43450,15090
43450-43500,17065
43500-43550,16158
43550-43600,17317
43600-43650,15438
43650-43700,13289
43700-43750,13769
43750-43800,12628
43800-43850,13830
43850-43900,16351
43900-43950,19100
43950-44000,18093
44000-44050,16405
44050-44100,16756
44100-44150,16662
44150-44200,15429
44200-44250,15054
44250-44300,14788
44300-44350,12107
44350-44400,14576
44400-44450,10601
44450-44500,9987
44500-44550,9455
44550-44600,7137
44600-44650,8072
44650-44700,9298
44700-44750,6785
44750-44800,6314
44800-44850,8417
44850-44900,7557
44900-44950,5945
44950-45000,4731
45000-45050,3482
45050-45100,4284
45100-45150,4054
45150-45200,4645
45200-45250,4427
45250-45300,5111
45300-45350,4638
45350-45400,3847
45400-45450,3617
45450-45500,3797
45500-45550,2440
45550-45600,2982
45600-45650,5325
45650-45700,5880
45700-45750,6432
45750-45800,6232
45800-45850,7041
45850-45900,8425
45900-45950,9802
45950-46000,9623
46000-46050,7088
46050-46100,5792
46100-46150,7519
46150-46200,8440
46200-46250,7203
46250-46300,6804
46300-46350,9278
46350-46400,9356
46400-46450,10259
46450-46500,9238
46500-46550,11216
46550-46600,11790
46600-46650,10417
46650-46700,10988
46700-46750,6911
46750-46800,6331
46800-46850,6341
46850-46900,6224
46900-46950,7133
46950-47000,9243
47000-47050,8351
47050-47100,8775
47100-47150,10852
47150-47200,11506
47200-47250,10953
47250-47300,8993
47300-47350,8980
47350-47400,7929
47400-47450,7248
47450-47500,7117
47500-47550,8128
47550-47600,5675
47600-47650,4634
47650-47700,5563
47700-47750,3511
47750-47800,1983
47800-47850,2545
47850-47900,3388
47900-47950,2756
47950-48000,2595
48000-48050,1131
48050-48100,918
48100-48150,427
48150-48200,273
